canonical_name_final,trial_count,pair_count,frequency_rank,source_therapy_name,therapy_identity_final,mechanism_superfamily,mechanism_family,molecular_targets,mechanism_action,modality,agonist_order,incretin_based,classification_status,confidence,source_url,notes,scope_review_flag,needs_mechanism_review,classification_status_original,classification_status_final,mechanism_superfamily_final,mechanism_family_final,mechanism_classified,researched_but_publicly_undisclosed,unreviewed_long_tail
semaglutide,144,144,1,semaglutide,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Long-acting GLP-1 analogue.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
tirzepatide,91,91,2,tirzepatide,tirzepatide,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Dual incretin agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
liraglutide,59,59,3,liraglutide,liraglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GLP-1 analogue.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
cagrilintide,27,27,4,cagrilintide,cagrilintide,Amylin-based,amylin,AMY1R; AMY2R; AMY3R; CTR,Long-acting amylin/calcitonin receptor agonist,peptide,multi,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/42452898/,Long-acting amylin analogue with activity across amylin receptors and CTR.,False,False,VERIFIED,VERIFIED,Amylin-based,amylin,True,False,False
naltrexone + bupropion,24,24,5,naltrexone + bupropion,naltrexone + bupropion,CNS/appetite,opioid + catecholamine,OPRM1; NET/DAT pathways,Opioid receptor antagonism plus noradrenergic/dopaminergic appetite modulation,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,False,VERIFIED,VERIFIED,CNS/appetite,opioid + catecholamine,True,False,False
zenagamtide,22,22,6,zenagamtide,zenagamtide,Incretin + amylin,GLP-1/amylin,GLP1R; amylin receptors; CTR,"Unimolecular GLP-1, amylin and calcitonin receptor agonist",peptide,multi,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/42532079/,Formerly amycretin; current name zenagamtide.,False,False,VERIFIED,VERIFIED,Incretin + amylin,GLP-1/amylin,True,False,False
maridebart cafraglutide,21,21,7,maridebart cafraglutide,maridebart cafraglutide,Incretin-based,GLP-1 agonism + GIP antagonism,GLP1R; GIPR,GLP-1 receptor agonism plus GIP receptor antagonism,antibody-peptide conjugate,,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/38316982/,Anti-GIPR antibody conjugated to GLP-1 agonist peptides.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1 agonism + GIP antagonism,True,False,False
orforglipron,21,21,8,orforglipron,orforglipron,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Oral nonpeptide GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
eloralintide,19,19,9,eloralintide,eloralintide,Amylin-based,amylin,AMY1R (preferential); AMY3R; CTR,"Selective amylin receptor agonist, preferential for AMY1R",peptide,multi,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41109426/,Long-acting amylin analogue with preferential human AMY1R activation.,False,False,VERIFIED,VERIFIED,Amylin-based,amylin,True,False,False
mazdutide,18,18,10,mazdutide,mazdutide,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Former development code IBI362/LY3305677.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/glucagon,True,False,False
ribupatide,18,18,11,ribupatide,ribupatide,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://www.hengrui.com/en/media/detail-991.html,HRS9531/KAI-9531; injectable and oral formulations in development.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
retatrutide,15,15,12,retatrutide,retatrutide,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonist,peptide,triple,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Triple incretin/glucagon agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP/glucagon,True,False,False
phentermine + topiramate,14,14,13,phentermine + topiramate,phentermine + topiramate,CNS/appetite,sympathomimetic + anticonvulsant,monoaminergic pathways; GABA/glutamate pathways,Appetite suppression through complementary CNS mechanisms,small-molecule combination,,False,VERIFIED,high,,Approved anti-obesity combination; established pharmacology.,False,False,VERIFIED,VERIFIED,CNS/appetite,sympathomimetic + anticonvulsant,True,False,False
setmelanotide,14,14,14,setmelanotide,setmelanotide,Melanocortin,MC4R,MC4R,Melanocortin-4 receptor agonist,peptide,mono,False,VERIFIED,high,https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/213793s009lbl.pdf,Cyclic peptide MC4R agonist used in genetic/syndromic obesity.,False,False,VERIFIED,VERIFIED,Melanocortin,MC4R,True,False,False
berobenatide,13,13,15,berobenatide,berobenatide,Incretin-based,GLP-1,GLP1R,Long-acting biased GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://www.pfizer.com/news/press-release/press-release-detail/robust-phase-2b-efficacy-and-favorable-tolerability-support,PF-08653944/MET-097i; ultra-long acting peptide.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
metformin,13,13,16,metformin,metformin,Metabolic/energy expenditure,insulin sensitisation/metabolic,mitochondrial complex I; AMPK-associated pathways,Pleiotropic insulin-sensitising and metabolic effects,small molecule,,False,VERIFIED,medium,,Mechanism is pleiotropic; no single receptor target adequately describes metformin.,False,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,insulin sensitisation/metabolic,True,False,False
phentermine,13,13,17,phentermine,phentermine,CNS/appetite,sympathomimetic,noradrenergic/monoaminergic pathways,Sympathomimetic appetite suppression,small molecule,,False,VERIFIED,high,,Established appetite suppressant.,False,False,VERIFIED,VERIFIED,CNS/appetite,sympathomimetic,True,False,False
bofanglutide,12,12,18,bofanglutide,bofanglutide,Incretin-based,GLP-1,GLP1R,Long-acting GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,GZR18; long-acting GLP-1 analogue.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
survodutide,10,10,19,survodutide,survodutide,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Former development code BI 456906.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/glucagon,True,False,False
ecnoglutide,9,9,20,ecnoglutide,ecnoglutide,Incretin-based,GLP-1,GLP1R,cAMP-biased GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/37364710/,XW003; long-acting GLP-1 analogue.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
poterepatide,9,9,21,poterepatide,poterepatide,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/42125916/,HDM1005.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
bgm0504,8,8,22,bgm0504,bgm0504,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/39840511/,Optimised dual agonist peptide.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP,True,False,False
mwn109,8,8,23,mwn109,mwn109,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonist,peptide,triple,True,VERIFIED,high,https://diabetesjournals.org/diabetes/article/74/Supplement_1/1967-LB/158767/,Long-acting triagonist; company also evaluates oral delivery.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP/glucagon,True,False,False
azd6234,7,7,24,azd6234,azd6234,Amylin-based,amylin,amylin receptors,Selective amylin receptor agonist,peptide,multi,False,VERIFIED,high,https://www.astrazeneca.com/media-centre/press-releases/2026/astrazeneca-agrees-obesity-and-t2d-deal-with-cspc.html,Weekly injectable selective amylin receptor agonist (SARA).,False,False,VERIFIED,VERIFIED,Amylin-based,amylin,True,False,False
cagrilintide + semaglutide,7,7,25,cagrilintide + semaglutide,cagrilintide + semaglutide,Incretin + amylin,amylin + GLP-1 combination,AMY1R/AMY2R/AMY3R; CTR; GLP1R,Combination of amylin-receptor agonism and GLP-1 receptor agonism,peptide combination,combination,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,CagriSema.,False,False,VERIFIED,VERIFIED,Incretin + amylin,amylin + GLP-1 combination,True,False,False
danuglipron,7,7,26,danuglipron,danuglipron,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Oral nonpeptide GLP-1RA.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
orlistat,7,7,27,orlistat,orlistat,GI nutrient absorption,lipase inhibition,gastric and pancreatic lipases,Gastrointestinal lipase inhibitor reducing dietary fat absorption,small molecule,,False,VERIFIED,high,,Peripheral gastrointestinal mechanism.,False,False,VERIFIED,VERIFIED,GI nutrient absorption,lipase inhibition,True,False,False
ubt251,7,7,28,ubt251,ubt251,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonist,peptide,triple,True,VERIFIED,high,https://www.novonordisk.com/news-and-media/news-and-ir-materials/news-details.html?id=916503,Triple-G agonist.,False,False,VERIFIED,VERIFIED,Incretin-based,GLP-1/GIP/glucagon,True,False,False
